2007-2008,SA2_2016_A,SA2_2016_1,SA2_2016_2,SA2_2016_3,SA2_2016_4,SA2_2016_5,SA2_2016_6,SA2_2016_7,SA2_2016_8,SA2_2016_9,SA2_201_10,SA2_201_11,SA2_to_GM_,SA2_to_GM1,SA2_OBJECT,SA2_Code,SA2_Region,SA2_Code_t,Shape_Leng,Shape_Area
21.758111736401137,209031212,21212,Panton Hill - St Andrews,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,292.1978,0,,0,0,,0,1.22355186856,0.0298110502031
149.90053636488483,209031213,21213,Plenty - Yarrambat,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,29.117,0,,0,0,,0,0.485440284488,0.00297288488688
65.76009742452342,209031214,21214,Research - North Warrandyte,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,49.7947,0,,0,0,,0,0.51766738097,0.00508719882703
128.61722435208753,209031215,21215,Wattle Glen - Diamond Creek,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,26.8245,0,,0,0,,0,0.352760324452,0.00273933845581
90.00142155205782,209041216,21216,Bundoora - North,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4.715,0,,0,0,,0,0.154522100473,0.000481537922526
90.00498198330438,209041217,21217,Bundoora - West,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,2.5601,0,,0,0,,0,0.0896476464469,0.000261588192653
106.00664905587723,209041219,21219,Lalor,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,12.0595,0,,0,0,,0,0.213438271606,0.00123150093662
90.05540767955365,209041220,21220,Mill Park - North,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,8.1362,0,,0,0,,0,0.167610379278,0.000830743701935
90.01873108624295,209041221,21221,Mill Park - South,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4.9298,0,,0,0,,0,0.148174388378,0.000503474351273
106.00030334768267,209041223,21223,Thomastown,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,14.6852,0,,0,0,,0,0.230535440644,0.00149988682496
216.69511011482973,209041224,21224,Wallan,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,507.7455,0,,0,0,,0,1.53884757942,0.0516584563533
1894.1925275796239,209041225,21225,Whittlesea,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,297.9799,0,,0,0,,0,0.981410986992,0.0303616623161
1896.9972011554607,209041430,21430,Doreen,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,14.4616,0,,0,0,,0,0.205956795744,0.00147543063763
1032.968654036522,209041431,21431,Epping - East,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,7.7691,0,,0,0,,0,0.126194610822,0.000793033343141
1353.0769225745416,209041432,21432,Epping - South,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,15.8714,0,,0,0,,0,0.300228702537,0.00162017955104
1810.108741544187,209041433,21433,Epping - West,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,7.3573,0,,0,0,,0,0.117609080127,0.000750992819612
1896.9998869299889,209041434,21434,Mernda,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,23.8231,0,,0,0,,0,0.272013809986,0.00243037058571
1896.9996840933657,209041435,21435,South Morang (North),20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,13.7094,0,,0,0,,0,0.219361485959,0.00139919397737
1874.077657795409,209041436,21436,South Morang (South),20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,7.7445,0,,0,0,,0,0.180487706992,0.000790663777053
1896.5527922417969,209041437,21437,Wollert,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,53.8918,0,,0,0,,0,0.362160880862,0.00549787934117
198.99997664644252,210011226,21226,Airport West,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.7194,0,,0,0,,0,0.083451005769,0.000380148797438
199.0000179163681,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,0,,0,0,,0,0.0943964365206,0.000342874826894
203.91295771714493,210011228,21228,Keilor,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,17.512,0,,0,0,,0,0.282487600897,0.00178957792121
199.00007550419807,210011229,21229,Keilor East,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,10.8916,0,,0,0,,0,0.160796333383,0.0011135282831
