region_id,B112
2030906,924.4
2030907,1160.3
2030908,954.8
2030909,761.8
2031001,724.5
2031002,724.5
2031003,514.4
2031004,662.4
2031005,871.1
2031006,489.1
2031007,638.4
2031009,0
2031101,637.5
2031102,624.2
2031103,611.8
2031104,687.3
2031105,608.4
2031106,899.5
2031107,780.4
2031108,596.4
2031109,528.7
2031201,753.5
2031202,1052.7
2031203,873
2031204,1045.9
2031205,1034.2
2031206,1052.5
2031207,777.7
2031208,582
2031209,638
2031210,598.3
2031211,641
2031212,924.4
2031301,1209.5
2031302,847.1
2031303,1077.4
2031304,1212.4
2031305,1035.5
2031306,1229.8
2031307,1234.8
2031308,1174.1
2031309,743.1
2031310,1024.9
2031311,1219.9
2031401,1043.5
2031402,1013.3
2031403,1012.4
2031404,692.6
2031405,830.3
2031406,932.7
2031407,739.4
2031408,676.3
2031409,899.5
2031501,1224.9
2031502,1070
2031503,924.4
2031504,833.2
2031505,853.1
2031506,926.6
2031507,1047.9
2031508,1046.4
2031509,1054.3
2031510,1025.6
2031511,1044.8
2031512,819.9
2031513,1421.4
2031514,874.6
2031515,813.7
2031516,717.7
2031517,347.2
2031601,980.6
2031602,827.1
2031603,758.9
2031604,654.8
2031605,691.4
2031606,807.2
2031607,736.9
2031608,1016
2031609,611.8
2031610,1256.9
2031701,736.9
2031702,680.4
2031703,955.7
2031704,810.3
2031705,721.6
2031706,747.4
2031707,641.2
2031708,572.7
2031709,896.3
2031801,713.9
2031802,925.7
2031803,785
2031804,874.6
2031805,642.7
2031806,541.6
2031807,896.3
2031808,641.5
2031809,592.6
2031901,919.4
2031902,755.5
2031903,786.6
2031904,629.6
2031905,1045.2
2031906,887.1
2031907,1074.6
2031908,615.9
2031909,899.5
2031910,1058
2031911,668.1
2031912,664.9
2031913,965.8
2031914,1086.2
2032001,724.5
2032002,866.3
2032003,713.9
2032004,701.6
2032005,632.2
2032006,602.2
2032007,612.9
2032008,1071.9
2032009,881.4
2032010,679.8
2032011,879.6
2032012,874.6
2032013,811.1
2032101,954.8
2032102,736.9
2032103,1013
2032104,518.6
2032105,629.1
2032106,608.9
2032107,587.3
2032108,707.9
2032109,849.8
2032110,741.1
2032111,611.8
2032112,761.8
2032113,970.6
2032114,913.7
2032115,1849.5
2032201,822.1
2032202,715.2
2032203,730.7
2032204,692.6
2032205,557.6
2032206,1033.2
2032207,0
2032208,661.5
2032209,0
2032210,935
2032211,1132.7
2032212,1549.5
2032213,0
2032214,979.1
2032215,899.5
2032216,2083.2
2032217,574.5
2032218,899.5
2032219,787.5
2032220,0
2032221,874.6
2032301,451.1
2032302,979.1
2032303,679.8
2032304,687.3
