region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
2100301,41,1733,593,280,1292,1.0,1125,2.4
2100302,42,1200,473,220,1281,1.1,808,2.1
2100303,38,983,472,200,1020,1.0,760,2.1
2100304,34,997,458,225,1125,1.1,884,2.3
2100305,38,1000,479,235,1343,1.1,788,2.1
2100306,34,1400,586,160,1937,1.1,1140,2.1
2100307,39,1300,543,220,1281,1.0,912,2.2
2100308,34,1517,502,230,1312,1.1,918,2.2
2100309,35,1100,525,171,1276,1.1,1125,2.8
2100310,39,1300,439,185,1210,1.1,841,2.1
2100311,35,2000,617,205,1726,1.1,1600,2.9
2100312,39,1205,581,200,1333,1.1,1166,2.8
2100313,37,1463,615,270,1524,1.0,1278,2.9
2100314,50,1311,550,260,1350,1.0,1125,2.4
2100315,43,1495,619,300,1727,1.0,1470,2.9
2100316,59,1408,384,165,710,1.0,559,1.8
2100317,38,1408,687,260,1286,1.0,985,2.4
2100318,36,1256,574,205,1275,1.1,1078,2.4
2100319,40,1400,486,193,1187,1.1,1083,2.2
2100320,40,1200,514,210,1187,1.1,795,2.1
2100321,33,1250,445,220,1111,1.1,829,2.0
2100322,32,1500,547,210,1281,1.1,1044,2.2
2100323,34,775,568,205,1474,1.1,938,2.2
2100324,40,1116,538,245,1604,1.0,1170,2.5
2100325,39,1300,623,204,1710,1.1,1468,2.6
2100326,34,1900,725,220,1867,1.1,1698,3.0
2100327,35,1600,607,170,1908,1.1,1575,3.2
2100328,35,1144,498,173,1357,1.1,857,2.2
2100329,45,1519,537,250,1598,1.0,1312,2.5
2100330,34,1517,592,250,1884,1.0,1318,2.4
2100331,36,1365,607,250,1366,1.1,936,2.2
2100332,34,1257,647,185,1703,1.1,1125,2.3
2100333,32,1625,631,250,1335,1.1,1237,2.5
2100334,38,1300,430,200,1264,1.0,735,2.2
2100335,40,1278,493,170,1240,1.1,804,2.0
2100336,0,0,0,0,0,0,0,0
2100337,42,2073,658,360,1833,1.1,1880,3.0
2100338,30,1056,357,190,759,1.1,650,2.2
2100339,34,1400,519,215,1437,1.0,992,2.2
2100340,33,1300,488,200,986,1.0,796,2.3
2100341,30,1322,545,191,1273,1.0,933,2.2
2100342,36,1733,534,210,1449,1.1,1322,3.0
2100343,42,1163,479,228,1053,1.0,854,2.2
2100344,69,2714,370,215,900,1.0,692,1.8
2100345,34,1589,754,325,1974,1.0,2037,3.3
2100346,34,1430,612,220,1468,1.0,1195,2.6
2100347,41,2383,715,75,1874,1.0,1866,3.3
2100348,31,1300,456,225,1087,1.0,937,2.3
2100349,34,1235,401,210,933,1.1,696,2.0
2100350,33,1300,519,220,1083,1.0,1015,2.1
2100351,50,1517,469,190,1050,1.1,719,2.4
2100401,35,1400,421,210,956,1.0,824,2.5
2100402,59,1083,371,87,785,1.1,561,1.8
2100403,26,1378,558,230,1159,1.1,996,2.6
2100404,33,1343,472,195,949,1.1,891,2.4
2100405,26,1213,434,162,884,1.2,790,2.8
2100406,29,1733,675,255,1274,1.1,1226,2.3
2100407,33,1083,534,200,1066,1.1,1011,2.4
2100408,43,1300,427,200,1011,1.1,788,2.3
2100409,34,1300,441,215,881,1.1,672,2.1
2100410,33,1365,440,185,979,1.1,792,2.3
2100411,37,1092,560,175,1062,1.0,986,2.2
2100412,34,1300,483,220,975,1.0,829,2.3
2100413,84,0,0,0,0,1.0,100,2.0
2100414,36,1600,496,196,1375,1.1,949,2.8
2100415,36,1018,483,200,1140,1.1,1022,2.1
2100416,36,1400,469,200,1292,1.1,900,2.4
2100417,40,1200,545,218,1566,1.0,1067,2.4
2100418,35,1192,431,192,810,1.0,787,2.0
2100419,29,1563,480,230,1362,1.1,1125,2.9
2100420,37,1400,500,195,1286,1.1,984,2.1
2100421,44,1508,441,230,1258,1.0,1117,2.3
2100422,34,1697,632,250,1631,1.1,1149,2.7
2100423,29,1733,474,220,1395,1.1,1135,2.6
2100424,39,1200,417,168,1044,1.1,823,2.1
2100425,36,1341,448,220,955,1.1,776,2.0
2100426,36,1083,424,200,1140,1.1,806,2.2
2100427,35,1100,407,157,880,1.1,737,2.0
2100428,46,1000,418,120,1156,1.1,636,1.8
2100429,32,1360,473,231,1007,1.1,1019,2.3
2100430,38,1300,445,164,988,1.1,753,1.9
2100431,39,1300,486,188,1010,1.1,815,2.3
2100432,50,1213,397,185,809,1.1,613,1.8
2100433,34,1192,442,220,858,1.1,774,2.1
2100434,34,1083,395,185,1034,1.1,753,2.1
2100435,50,921,441,188,1031,1.0,692,2.0
2100436,32,1400,486,238,1157,1.1,1071,2.7
2100437,38,1127,447,210,913,1.1,714,2.1
2100438,34,1326,467,190,1010,1.1,717,2.3
2100439,34,1300,474,240,1118,1.0,944,2.3
2100440,33,1021,419,176,877,1.1,847,2.6
2100441,38,1300,393,132,863,1.1,746,2.3
2100442,30,1083,546,210,1111,1.1,971,2.4
2100443,42,1517,587,137,1708,1.0,1949,2.2
2100444,29,1213,405,230,984,1.1,885,2.4
2100445,35,867,422,190,866,1.1,744,2.4
2100446,31,1300,441,195,854,1.1,856,2.1
2100447,36,1116,412,195,979,1.1,767,2.3
2100448,36,1092,366,180,731,1.1,619,2.3
2100449,59,867,397,165,900,1.0,537,1.8
2100450,29,1733,750,323,1673,1.1,1697,2.8
2100451,32,1300,594,340,1654,1.1,1533,3.0
2100501,40,1512,681,250,1794,1.1,1519,3.0
2100502,36,1400,593,260,1325,1.1,1129,2.6
2100503,36,1733,629,195,1701,1.1,1549,2.7
2100504,42,1213,478,215,1395,1.0,1066,2.5
2100505,19,0,184,0,2250,1.0,3250,4.0
2100506,23,1733,465,360,1858,1.0,1529,3.4
2100507,40,1307,610,223,1660,1.0,1201,2.5
2100508,36,1586,696,283,1695,1.0,1644,2.8
2100509,52,2950,555,0,1687,1.1,1158,2.6
2100510,46,1625,515,100,1212,1.1,1468,2.5
