SA2_MAINCODE_2011,2006_1,2006_2,2006_3,2006_4,2006_5,2006_6,2006_7,2006_8,2006_9,2006_10,2006_11,2006_12,mean_2006
211031268,384950.0,380000.0,379000.0,384975.0,379500.0,390000.0,390000.0,387500.0,384950.0,370000.0,374500.0,384950.0,382527.0833333333
211041269,352500.0,350000.0,350000.0,350000.0,350000.0,359000.0,350000.0,357500.0,350000.0,350000.0,350000.0,350000.0,351583.3333333333
211041270,355000.0,351500.0,350000.0,350000.0,355000.0,360000.0,354500.0,360000.0,353000.0,350000.0,350000.0,350000.0,353250.0
211041271,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,345000.0,350000.0,350000.0,350000.0,350000.0,349583.3333333333
211041272,374975.0,357500.0,370000.0,370000.0,375000.0,370000.0,375000.0,367500.0,370000.0,375000.0,375000.0,360000.0,369997.9166666667
211041273,420000.0,424975.0,420000.0,422475.0,420000.0,419975.0,419950.0,419950.0,422475.0,420000.0,420000.0,420000.0,420816.6666666667
211051274,325000.0,315000.0,308750.0,312500.0,326500.0,300000.0,315000.0,300000.0,315000.0,327500.0,310000.0,315000.0,314187.5
211051275,360000.0,341475.0,362475.0,360000.0,360000.0,360000.0,354975.0,360000.0,357500.0,360000.0,354975.0,350000.0,356783.3333333333
211051276,370000.0,300000.0,300000.0,300000.0,360000.0,370000.0,370000.0,375000.0,300000.0,300000.0,296250.0,300000.0,328437.5
211051277,280000.0,279950.0,280000.0,275000.0,285000.0,277500.0,274975.0,275000.0,280000.0,280000.0,290000.0,280000.0,279785.4166666667
211051278,310000.0,330000.0,320000.0,320000.0,315000.0,320000.0,310000.0,320000.0,322500.0,312500.0,310000.0,330000.0,318333.3333333333
211051279,425000.0,370000.0,400000.0,445000.0,400000.0,400000.0,450000.0,399500.0,385000.0,400000.0,400000.0,357500.0,402666.6666666667
211051280,320000.0,308725.0,322500.0,330000.0,330000.0,330000.0,320000.0,330000.0,332500.0,315000.0,315000.0,312475.0,322183.3333333333
211051281,310000.0,310000.0,310000.0,310000.0,319950.0,300000.0,300000.0,300000.0,312500.0,310000.0,310000.0,310000.0,308537.5
211051282,375000.0,375000.0,366250.0,375000.0,375000.0,365000.0,375000.0,358750.0,380000.0,375000.0,375000.0,375000.0,372500.0
211051283,300000.0,285000.0,285000.0,280000.0,292500.0,295000.0,295000.0,297500.0,280000.0,285000.0,285000.0,287500.0,288958.3333333333
211051284,304750.0,302500.0,313250.0,310000.0,310000.0,291250.0,298750.0,285000.0,307500.0,316250.0,317500.0,300000.0,304729.1666666667
211051285,347500.0,269950.0,317500.0,270000.0,350000.0,365000.0,345000.0,350000.0,270000.0,340000.0,317500.0,269950.0,317700.0
211051286,249950.0,245000.0,245000.0,240000.0,245000.0,250000.0,250000.0,260000.0,245000.0,245000.0,249950.0,249000.0,247825.0
212011287,377500.0,380000.0,380000.0,380000.0,372500.0,370000.0,370000.0,373750.0,380000.0,375000.0,380000.0,379950.0,376558.3333333333
212011288,472000.0,375000.0,385000.0,380000.0,429000.0,592499.5,585000.0,585000.0,373750.0,467500.0,419500.0,375000.0,453270.7916666667
212011289,353750.0,325000.0,347500.0,330000.0,337500.0,410000.0,407500.0,415000.0,327500.0,352500.0,353750.0,320000.0,356666.6666666667
212011290,319000.0,269950.0,283000.0,278872.5,306000.0,303500.0,295000.0,312000.0,278872.5,300000.0,312000.0,278745.0,294745.0
212011291,229975.0,232950.0,229975.0,233000.0,226475.0,236950.0,234950.0,237000.0,232950.0,225475.0,225475.0,232950.0,231510.41666666666
