SA2_MAINCODE_2011,SA2_NAME_2011,SA2_5DIGITCODE_2011,SA3_CODE_2011,SA3_NAME_2011,SA4_CODE_2011,SA4_NAME_2011,GCCSA_CODE_2011,GCCSA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQM
211051285,Wandin - Seville,21285,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,111734673.9
211051286,Yarra Valley,21286,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,728800758.6
212011287,Beaconsfield - Officer,21287,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,41723923.56
212011288,Bunyip - Garfield,21288,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,373110815.1
212011289,Emerald - Cockatoo,21289,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,370683839.8
212011290,Koo Wee Rup,21290,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,409434812.8
212011291,Pakenham - North,21291,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,36725846.62
212011292,Pakenham - South,21292,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,49758374.83
212021293,Berwick - North,21293,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,19732044.97
212021294,Berwick - South,21294,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,14853749.62
212021295,Doveton,21295,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,5206852.106
212021296,Endeavour Hills,21296,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,20058926.32
212021297,Hallam,21297,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8055451.635
212021298,Narre Warren,21298,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,14177099.08
212021299,Narre Warren North,21299,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,34387675.73
212031300,Cranbourne,21300,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13026629.3
212031301,Cranbourne East,21301,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,42889195.45
212031302,Cranbourne North,21302,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10239527.92
212031303,Cranbourne South,21303,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,81662322.36
212031304,Cranbourne West,21304,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,12898208.88
212031305,Hampton Park - Lynbrook,21305,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13335865.5
