,STOP_ID,STOP_NAME,ROUTEUSSP
263,17334,12-Morrah St/Royal Pde (Parkville),19
264,17335,11-University of Melbourne/Royal Pde (Parkville),19
265,17591,7-Russell St/Bourke St (Melbourne City),"96,86"
266,17593,6-Swanston St/Bourke St (Melbourne City),"96,86"
267,17594,5-Elizabeth St/Bourke St (Melbourne City),"96,86"
268,17596,4-Queen St/Bourke St (Melbourne City),"96,86"
269,17597,3-William St/Bourke St (Melbourne City),"96,86"
270,17602,32-Hornby St/High St (Prahran),6
271,17603,31-Chapel St/High St (Prahran),6
272,17604,30-Prahran Station/High St (Windsor),6
273,17605,29-Perth St/High St (Windsor),6
274,17606,28-Punt Rd/High St (Windsor),6
275,1784,37-Gaffney St/Sydney Rd (Coburg),19
276,17848,1-Spencer St/Bourke St (Melbourne City),"96,86"
277,17849,1-Spencer St/Bourke St (Melbourne City),"96,86"
278,17850,1-Flinders Street Railway Station/Elizabeth St (Melbourne City),"57,59,19"
279,17851,2-Collins St/Elizabeth St (Melbourne City),"57,59,19"
280,17852,3-Bourke Street Mall/Elizabeth St (Melbourne City),"57,59,19"
281,17854,5-Melbourne Central Station/Elizabeth St (Melbourne City),"57,59,19"
282,17856,7-Queen Victoria Market/Elizabeth St (Melbourne City),"57,59,19"
283,17857,8-Peel St/Victoria St (Melbourne City),57
284,17858,9-William St/Victoria St (Melbourne City),57
285,17859,10-Chetwynd St/Victoria St (Melbourne City),57
286,17860,11-Errol St/Victoria St (Melbourne City),57
287,17861,11-Victoria St/Errol St (North Melbourne),57
288,17862,10-Chetwynd St/Victoria St (Melbourne City),57
289,17863,9-Howard St/Victoria St (Melbourne City),57
290,17864,8-Peel St/Victoria St (Melbourne City),57
291,17866,9-Pelham St/Elizabeth St (Melbourne City),"59,19"
292,17867,10-Royal Melbourne Hospital/Royal Pde (Melbourne City),19
293,17868,10-Royal Melbourne Hospital/Royal Pde (Parkville),19
294,17869,9-Pelham St/Elizabeth St (Melbourne City),"59,19"
295,17871,7-Queen Victoria Market/Elizabeth St (Melbourne City),"57,59,19"
296,17873,5-Melbourne Central Station/Elizabeth St (Melbourne City),"57,59,19"
297,17875,3-Bourke Street Mall/Elizabeth St (Melbourne City),"57,59,19"
298,17876,2-Collins St/Elizabeth St (Melbourne City),"57,59,19"
299,17877,1-Flinders Street Railway Station/Elizabeth St (Melbourne City),"57,59,19"
300,17878,11-Melbourne Museum/Nicholson St (Fitzroy),"96,86"
